rank,team,solved,penalty,problems
91,parting-ceramics-1366,400,204,95 1 try | score_cell || 146 3 tries | score_cell || 195 2 tries | score_cell || 1 try | score_cell
92,lifter-turbulent-410,400,208,185 2 tries | score_cell || 198 1 try | score_cell || 199 3 tries | score_cell || score_cell
93,atop-unclad-1285,400,210,159 1 try | score_cell || 171 1 try | score_cell || 201 4 tries | score_cell || score_cell
94,postbox-robbing-231,400,219,102 1 try | score_cell || 179 1 try | score_cell || 213 3 tries | score_cell || 4 tries | score_cell
95,unquote-postwar-900,400,237,146 1 try | score_cell || 174 1 try | score_cell || 231 3 tries | score_cell || 5 tries | score_cell
96,cash-epiphany-183,400,249,153 1 try | score_cell || 173 4 tries | score_cell || 237 2 tries | score_cell || score_cell
97,open-replace-689,400,253,172 1 try | score_cell || 217 1 try | score_cell || 253 1 try | score_cell || score_cell
98,echo-crumpet-455,400,256,1 1 try | score_cell || 13 1 try | score_cell || 238 7 tries | score_cell || score_cell
99,junkie-blob-359,400,391,17 1 try | score_cell || 292 2 tries | score_cell || 379 4 tries | score_cell || score_cell
100,uncle-enjoyer-905,400,471,438 1 try | score_cell || 448 3 tries | score_cell || 462 2 tries | score_cell || score_cell
101,rambling-trivial-1304,400,478,58 1 try | score_cell || 351 1 try | score_cell || 475 2 tries | score_cell || score_cell
102,certainly-custard-1495,400,714,35 1 try | score_cell || 120 1 try | score_cell || 693 8 tries | score_cell || 1 try | score_cell
103,endearing-relic-523,400,760,77 1 try | score_cell || 93 2 tries | score_cell || 754 2 tries | score_cell || 3 tries | score_cell
104,skirmish-armhole-184,400,789,738 1 try | score_cell || 749 1 try | score_cell || 786 2 tries | score_cell || score_cell
105,mocker-willpower-707,400,877,861 1 try | score_cell || 870 1 try | score_cell || 877 1 try | score_cell || score_cell
106,timothy-copied-1190,350,153,score_cell || score_cell || score_cell || 150 2 tries | score_cell
107,headpiece-lapel-1532,250,97,26 1 try | score_cell || score_cell || 94 2 tries | score_cell || score_cell
108,monoxide-juiciness-454,200,6,1 1 try | score_cell || 6 1 try | score_cell || 1 try | score_cell || score_cell
109,dimple-outplayed-797,200,11,1 1 try | score_cell || 11 1 try | score_cell || 2 tries | score_cell || score_cell
110,wikipedia-nimble-1487,200,15,15 1 try | score_cell || 8 1 try | score_cell || 2 tries | score_cell || score_cell
111,pull-hula-950,200,16,5 1 try | score_cell || 16 1 try | score_cell || 1 try | score_cell || 2 tries | score_cell
112,outburst-darkened-727,200,19,8 1 try | score_cell || 19 1 try | score_cell || score_cell || score_cell
113,bloomers-parameter-847,200,22,2 1 try | score_cell || 22 1 try | score_cell || score_cell || score_cell
114,paddling-crabmeat-1423,200,27,9 1 try | score_cell || 27 1 try | score_cell || 1 try | score_cell || score_cell
